name,sgnum,numpeaks
1505642_0050,19,63
1505648_0050,4,33
1505650_0050,19,35
1505651_0050,14,27
1505652_0050,9,31
1505655_0050,19,35
1505656_0050,19,30
1505657_0050,2,71
1505658_0050,19,49
1505664_0050,4,56
1505666_0050,14,27
1505668_0050,2,66
1505677_0050,19,19
1505679_0050,7,37
1505686_0050,2,48
1505701_0050,15,25
1505702_0050,12,25
1505709_0050,14,7
1505713_0050,14,11
1505717_0050,14,8
1505718_0050,14,9
1505731_0050,14,57
1505748_0050,14,44
1505751_0050,2,29
1505752_0050,14,9
1505757_0050,14,89
1505763_0050,4,46
1505777_0050,14,99
1505796_0050,19,38
1505799_0050,19,31
1505808_0050,61,9
1505810_0050,43,19
1505814_0050,2,62
1505815_0050,19,22
1505819_0050,33,49
1505821_0050,15,34
1505838_0050,15,59
1505852_0050,19,38
1505853_0050,2,37
1505869_0050,19,40
1505876_0050,14,56
1505877_0050,4,32
1505879_0050,2,63
